,VaR,return,violation
2019-05-16,-0.021531619194563582,0.006201475634222131,0.0
2019-05-17,-0.021531619194563582,-0.017776791064306074,0.0
2019-05-20,-0.021531619194563582,-0.009484773706994964,0.0
2019-05-21,-0.021531619194563582,0.013880365963979457,0.0
2019-05-22,-0.021531619194563582,-0.002823536074687105,0.0
2019-05-23,-0.021531619194563582,-0.0031466477288191186,0.0
2019-05-24,-0.021531619194563582,0.007848101923484396,0.0
2019-05-28,-0.021531619194563582,-0.017666057836075222,0.0
2019-05-29,-0.021531619194563582,-0.02644461383100616,1.0
2019-05-30,-0.02187739531680519,0.0026109650214487523,0.0
2019-05-31,-0.02187739531680519,-0.0035918605262232894,0.0
2019-06-03,-0.02187739531680519,0.03408688486483635,0.0
2019-06-04,-0.02187739531680519,0.03296316794187648,0.0
