,VaR,return,violation
2019-05-16,-0.04122339279194207,0.010609491157531181,0.0
2019-05-17,-0.04122339279194207,-0.0071904884816325065,0.0
2019-05-20,-0.04122339279194207,-0.023150611974569024,0.0
2019-05-21,-0.04122339279194207,0.019372676580781345,0.0
2019-05-22,-0.04122339279194207,0.02054003197983434,0.0
2019-05-23,-0.04122339279194207,-0.012415689378323158,0.0
2019-05-24,-0.04122339279194207,0.011200302464386525,0.0
2019-05-28,-0.04122339279194207,0.0017586822455006867,0.0
2019-05-29,-0.04122339279194207,-0.015194699900716202,0.0
2019-05-30,-0.04122339279194207,0.009427288974978687,0.0
2019-05-31,-0.04122339279194207,-0.013881162301704997,0.0
2019-06-03,-0.04122339279194207,-0.010448340641490361,0.0
2019-06-04,-0.04122339279194207,0.03274519603376724,0.0
